Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,DisplayName,OPCAccessLevel,extra_properties
R01001,INT,mirror of ICH01_POS,,YES,,Decimal,0,0,External Read/Write,NO,16,21685,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01001,,,,,,Private,
R01002,INT,mirror of IRL_BIN_LVL,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01002,,,,,,Private,
R01003,WORD,mirror of V_PR_AI0003,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01003,,,,,,Private,
R01004,INT,mirror of ITLO_IN_RADAR,,YES,,Decimal,0,0,External Read/Write,NO,16,11850,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01004,,,,,,Private,
R01005,WORD,mirror of ILT002,,YES,,Decimal,0,0,External Read/Write,NO,16,19479,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01005,,,,,,Private,
R01006,WORD,mirror of ILT003,,YES,,Decimal,0,0,External Read/Write,NO,16,18773,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01006,,,,,,Private,
R01007,WORD,mirror of V_PR_AI0007,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01007,,,,,,Private,
R01008,WORD,mirror of V_PR_AI0008,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01008,,,,,,Private,
R01009,INT,mirror of IJOY_POSN,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01009,,,,,,Private,
R01010,WORD,mirror of V_PR_AI0010,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01010,,,,,,Private,
R01011,WORD,mirror of V_PR_AI0011,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01011,,,,,,Private,
R01012,WORD,mirror of V_PR_AI0012,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01012,,,,,,Private,
R01013,WORD,mirror of V_PR_AI0013,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01013,,,,,,Private,
