Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,DisplayName,OPCAccessLevel,extra_properties
R01132,INT,mirror of CV04_MTR1_CRNT,,YES,,Decimal,0,0,External Read/Write,NO,16,-7920,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01132,,,,,,Private,
R01133,INT,mirror of CV04_MTR2_CRNT,,YES,,Decimal,0,0,External Read/Write,NO,16,-7920,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01133,,,,,,Private,
R01134,INT,mirror of FV01C_POSTN,,YES,,Decimal,0,0,External Read/Write,NO,16,16760,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01134,,,,,,Private,
R01135,INT,mirror of FV02C_POSTN,,YES,,Decimal,0,0,External Read/Write,NO,16,22050,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01135,,,,,,Private,
R01136,INT,mirror of FV03C_POSTN,,YES,,Decimal,0,0,External Read/Write,NO,16,24560,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01136,,,,,,Private,
R01137,INT,mirror of FV04C_POSTN,,YES,,Decimal,0,0,External Read/Write,NO,16,23250,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01137,,,,,,Private,
R01138,INT,mirror of BN02_LVL,,YES,,Decimal,0,0,External Read/Write,NO,16,20480,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01138,,,,,,Private,
R01139,INT,mirror of CV04_WGH05_FLWRT,,YES,,Decimal,0,0,External Read/Write,NO,16,10,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01139,,,,,,Private,
R01140,INT,mirror of CV04_WGH04_FLWRT,,YES,,Decimal,0,0,External Read/Write,NO,16,0,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01140,,,,,,Private,
R01141,INT,mirror of CV04_WGH03_FLWRT,,YES,,Decimal,0,0,External Read/Write,NO,16,-20,Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01141,,,,,,Private,
